Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBT(RP),Proft,ProftOwner,EPS(RP),BV(RP),PER,PBV,DER,ROA(%),ROE(%),NPM(%)
TRST,Basic Materials,B131,Containers & Packaging,Trias Sentosa Tbk,S,09/30/2022,Dec,U,0,5615.52,2862.31,2753.21,2948.39,184.94,177.0,151.6,69.32,980.49,10.68,0.75,1.04,3.0,7.0,7.0
UNIC,Basic Materials,B111,Basic Chemicals,Unggul Indah Cahaya Tbk,S,09/30/2022,Dec,U,0,4612.54,781.88,3830.67,4526.56,645.66,496.84,503.68,1857.61,9993.1,4.95,0.92,0.2,15.0,19.0,16.0
WSBP,Basic Materials,B121,Construction Materials,Waskita Beton Precast Tbk,S,09/30/2022,Dec,A,WTP,6427.03,4122.0,2305.03,4200.81,1187.03,1187.03,1187.03,-18.11,87.44,-3.59,0.74,1.79,-7.0,-21.0,-11.0
WTON,Basic Materials,B121,Construction Materials,Wijaya Karya Beton Tbk,S,12/31/2022,Dec,A,0,9447.53,5809.71,3637.82,6003.79,249.51,171.06,162.92,18.69,417.4,8.99,0.4,1.6,2.0,4.0,3.0
YPAS,Basic Materials,B131,Containers & Packaging,Yanaprima Hastapersada Tbk,S,12/31/2022,Dec,A,WTP,290.5,169.86,120.64,377.09,-1.93,-1.41,-1.41,-2.11,180.6,-283.92,3.32,1.41,0.0,-1.0,0.0
ZINC,Basic Materials,B146,Diversified Metals & Minerals,Kapuas Prima Coal Tbk,S,09/30/2022,Dec,U,0,2517.95,1617.73,900.23,551.81,29.7,21.85,12.95,1.06,35.65,47.05,1.4,1.8,1.0,3.0,5.0
BANK,Basic Materials,B153,Diversified Forest,PT Bank Net Indonesia Syariah Tbk,S,09/30/2022,Dec,U,0,2597.92,76.52,2016.51,41.94,-146.42,-146.42,-146.42,-14.12,138.98,-93.82,9.53,0.04,-8.0,-10.0,-494.0
ABMM,Industrials,C311,Multi-sector Holdings,ABM Investama Tbk,S,09/30/2022,Dec,U,0,26055.47,18741.09,7314.38,14645.99,4305.58,2418.35,3315.38,1479.96,2656.72,2.13,1.19,2.56,16.0,56.0,28.0
AMFG,Industrials,C121,Building Products & Fixtures,Asahimas Flat Glass Tbk,S,12/31/2022,Dec,A,0,7466.52,3746.35,3720.17,5571.77,565.84,437.37,437.37,1007.76,8571.82,5.11,0.6,1.01,6.0,12.0,8.0
AMIN,Industrials,C143,Industrial Machinery & Components,PT Ateliers Mecaniques D Indonesie Tbk.,S,10/31/2022,Jan,U,0,311.72,161.01,150.72,787.04,5.51,4.25,4.25,2.57,139.55,63.92,1.18,1.07,1.0,2.0,0.0
APII,Industrials,C143,Industrial Machinery & Components,PT Arita Prima Indonesia Tbk.,S,09/30/2022,Dec,U,0,582.02,199.89,382.13,228.62,29.16,21.16,19.95,20.21,355.22,9.7,0.55,0.52,4.0,6.0,10.0
ARKA,Industrials,C143,Industrial Machinery & Components,PT Arkha Jayanti Persada Tbk.,S,09/30/2022,Dec,U,0,467.77,362.48,105.29,145.61,10.3,10.3,10.3,6.5,52.65,7.69,0.95,3.44,3.0,12.0,9.0
ARNA,Industrials,C121,Building Products & Fixtures,Arwana Citramulia Tbk,S,12/31/2022,Dec,U,0,2578.87,745.7,1833.17,7760.0,746.1,581.56,576.21,78.49,249.7,12.93,4.06,0.41,22.0,31.0,7.0
CAKK,Industrials,C121,Building Products & Fixtures,Cahayaputra Asa Keramik Tbk,S,12/31/2022,Dec,A,WTP,447.97,195.45,252.52,250.32,13.7,10.55,10.55,8.77,209.86,20.53,0.86,0.77,2.0,4.0,4.0
