Kode,Sektor,KodeInd,SubIndustri,Nama Emiten,Sharia,Tanggal,Tahun Buku,Tipe Lap,Opini,Aset,Utang,Modal,Penjual,EBTRP,Proft,ProftOwner,EPSRP,BVRP,PER,PBV,DER,ROA(%),ROE(%),NPM(%)
ASJT,Financials,G412,General Insurance,Asuransi Jasa Tania Tbk,S,12/31/2023,Dec,A,WTM,499,174,324,199,5,4,4,3,232,40,0.5,0.54,1,1,2
ASMI,Financials,G412,General Insurance,Asuransi Maximus Graha Persada Tbk,S,09/30/2023,Dec,U,,1073,679,390,1301,8,13,13,-2,44,-22,0.78,1.74,-1,-4,-1
ASRM,Financials,G412,General Insurance,Asuransi Ramayana Tbk,S,09/30/2023,Dec,U,,1884,1238,646,1717,63,54,54,290,2123,5,0.73,1.92,5,14,5
BHAT,Financials,G413,Life Insurance,Bhakti Multi Artha Tbk,S,12/31/2023,Dec,A,WTM,1115,567,547,194,3,3,3,1,109,615,3.76,1.04,0,1,2
JMAS,Financials,G413,Life Insurance,Asuransi Jiwa Syariah Jasa Mitra Abadi Tbk,S,09/30/2023,Dec,U,,333,225,122,56,4,4,4,3,122,21,0.46,1.85,1,2,5
LIFE,Financials,G413,Life Insurance,Asuransi Jiwa Sinarmas MSIG Tbk,S,09/30/2023,Dec,U,,14757,7310,7441,2545,184,130,130,122,3543,49,1.69,0.98,2,3,10
LPGI,Financials,G412,General Insurance,Lippo General Insurance Tbk,S,12/31/2023,Dec,A,WDP,2769,1926,844,3656,15,25,25,83,2812,44,1.3,2.28,1,3,1
MREI,Financials,G414,Reasurance,Maskapai Reasuransi Indonesia Tbk,S,09/30/2023,Dec,U,,4475,3024,1419,2239,47,39,39,76,2740,20,0.55,2.13,1,3,2
MTWI,Financials,G412,General Insurance,Malacca Trust Wuwungan Insurance Tbk,S,09/30/2023,Dec,U,,1180,900,280,635,12,12,12,4,96,18,0.79,3.21,1,4,2
PNIN,Financials,G412,General Insurance,Paninvest Tbk,S,09/30/2023,Dec,U,,37219,4227,32936,2050,390,1485,966,265,8096,4,0.12,0.13,3,3,53
PNLF,Financials,G413,Life Insurance,Panin Financial Tbk,S,09/30/2023,Dec,U,,35463,4264,31180,3111,1553,1536,1419,57,974,5,0.29,0.14,5,6,59
TUGU,Financials,G412,General Insurance,Asuransi Tugu Pratama Indonesia Tbk,S,12/31/2023,Dec,A,WTM,25138,14858,10280,9283,1632,1302,1322,372,2891,3,0.41,1.45,5,13,14
VINS,Financials,G412,General Insurance,Victoria Insurance Tbk,S,12/31/2023,Dec,A,WTM,243,89,154,137,6,6,6,4,105,31,1.32,0.58,3,4,5
APIC,Financials,G511,Financial Holdings,Pacific Strategic Financial Tbk,S,09/30/2023,Dec,U,,7205,4813,2392,1557,144,138,134,16,203,70,5.41,2.01,3,8,12
BCAP,Financials,G511,Financial Holdings,MNC Kapital Indonesia Tbk,S,09/30/2023,Dec,U,,25270,19064,6206,1865,116,96,76,3,146,15,0.34,3.07,1,2,8
BPII,Financials,G511,Financial Holdings,Batavia Prosperindo Internasional Tbk,S,09/30/2023,Dec,U,,3519,1883,1636,696,137,99,74,158,3173,68,3.36,1.15,2,5,12
CASA,Financials,G511,Financial Holdings,Capital Financial Indonesia Tbk,S,09/30/2023,Dec,U,,32737,21178,8507,5566,61,47,35,0,156,1270,3.39,2.49,0,0,0
DNET,Financials,G512,Investment Companies,PT Indoritel Makmur Internasional Tbk.,S,12/31/2023,Dec,A,WTM,20711,7637,13074,1390,857,787,721,51,922,92,5.1,0.58,3,6,52
GSMF,Financials,G511,Financial Holdings,Equity Development Investment Tbk,S,09/30/2023,Dec,U,,5927,3368,2559,752,-6,-12,-13,-1,180,-76,0.28,1.32,0,0,-1
LPPS,Financials,G512,Investment Companies,PT Lenox Pasifik Investama Tbk,S,12/31/2023,Dec,A,WTM,1016,0,1016,0,23,23,23,9,392,7,0.16,0.0,2,2,9718
MGNA,Financials,G512,Investment Companies,PT Magna Investama Mandiri Tbk,S,12/31/2023,Dec,A,WTM,137,94,43,48,-4,-2,-2,-1,13,-12,0.55,2.18,-1,-5,-4
NICK,Financials,G512,Investment Companies,PT Charnic Capital Tbk.,S,12/31/2023,Dec,A,WTM,196,1,195,-66,-68,-68,-68,-105,299,-3,0.89,0.01,-35,-35,0
OCAP,Financials,G511,Financial Holdings,Onix Capital Tbk,S,12/31/2023,Dec,A,TMP,10,243,-233,0,-6,-6,-6,-22,-851,-7,-0.19,-1.04,-57,0,0
PEGE,Financials,G511,Financial Holdings,Panca Global Kapital Tbk,S,12/31/2023,Dec,A,WTM,250,37,212,-71,-73,-73,-73,-26,75,-4,1.4,0.18,-29,-34,0
PLAS,Financials,G511,Financial Holdings,Polaris Investama Tbk,S,06/30/2020,Dec,U,,185,31,154,2,-1,-1,-1,0,130,0,0.38,0.2,0,0,-19
POOL,Financials,G511,Financial Holdings,Pool Advista Indonesia Tbk,S,09/30/2022,Dec,U,,436,12,424,12,1,1,-1,-15,181,0,0.28,0.03,-8,-8,-292
