Code;Stock Name;SD/BS;Currency;Cash Dividend;Cum Dividend;Ex Dividend;Record Date;Payment Date;Note
DMAS;Puradelta Lestari Tbk;;IDR;10;06/27/2023;07/03/2023;07/04/2023;07/14/2023;F
BOLT;Garuda Metalindo Tbk;;IDR;25;06/21/2023;06/22/2023;06/23/2023;07/14/2023;F
IDPR;PT Indonesia Pondasi Raya Tbk.;;IDR;1;07/06/2023;07/07/2023;07/10/2023;07/25/2023;F
SHIP;Sillo Maritime Perdana Tbk;;IDR;17,5;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
HOKI;Buyung Poetra Sembada Tbk;;IDR;1;07/10/2023;07/11/2023;07/12/2023;07/18/2023;F
MDKI;Emdeki Utama Tbk;;IDR;10;06/13/2023;06/14/2023;06/15/2023;07/07/2023;F
PSSI;Pelita Samudera Shipping Tbk;;IDR;50;06/14/2023;06/15/2023;06/16/2023;07/05/2023;F
CAMP;Campina Ice Cream Industry Tbk;;IDR;20;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
IPCM;PT Jasa Armada Indonesia Tbk.;;IDR;17,74;07/04/2023;07/05/2023;07/06/2023;07/21/2023;F
GHON;PT Gihon Telekomunikasi Indonesia Tbk;;IDR;128;06/09/2023;06/12/2023;06/13/2023;07/04/2023;F
HEAL;PT Medikaloka Hermina Tbk.;;IDR;7;06/09/2023;06/12/2023;06/13/2023;07/05/2023;F
TCPI;Transcoal Pacific Tbk;;IDR;7;06/26/2023;06/27/2023;07/03/2023;07/18/2023;F
MAPA;Map Aktif Adiperkasa Tbk;;IDR;40;07/03/2023;07/04/2023;07/05/2023;07/17/2023;F
IPCC;PT Indonesia Kendaraan Terminal Tbk.;;IDR;49,77;07/10/2023;07/11/2023;07/12/2023;08/01/2023;F
ZONE;Mega Perintis Tbk;;IDR;20,94;06/21/2023;06/22/2023;06/23/2023;07/13/2023;F
PEHA;Phapros Tbk;;IDR;13,37;06/16/2023;06/19/2023;06/20/2023;07/12/2023;F
JAYA;PT Armada Berjaya Trans Tbk.;;IDR;3;06/27/2023;07/03/2023;07/04/2023;07/21/2023;F
EAST;Eastparc Hotel Tbk;;IDR;1,8;08/11/2023;08/14/2023;08/15/2023;08/30/2023;I
LIFE;Asuransi Jiwa Sinarmas MSIG Tbk;;IDR;177;07/10/2023;07/11/2023;07/12/2023;07/28/2023;F
BLUE;Berkah Prima Perkasa Tbk;;IDR;33;07/06/2023;07/07/2023;07/10/2023;07/26/2023;F
SMKL;Satyamitra Kemas Lestari Tbk;;IDR;12;06/12/2023;06/13/2023;06/14/2023;07/06/2023;F
KEEN;Kencana Energi Lestari Tbk;;IDR;6,5;06/26/2023;06/27/2023;07/03/2023;07/18/2023;F
TEBE;Dana Brata Luhur Tbk;;IDR;30;09/15/2023;09/18/2023;09/19/2023;09/29/2023;I
IFII;Indonesia Fibreboard Industry Tbk;;IDR;2;07/03/2023;07/04/2023;07/05/2023;07/21/2023;F
PMJS;PT Putra Mandiri Jembar Tbk;;IDR;7,3;07/06/2023;07/07/2023;07/10/2023;07/27/2023;F
GLVA;Galva Technologies Tbk;;IDR;16;06/23/2023;06/26/2023;06/27/2023;07/18/2023;F
