Kode,P,Current,L,H,OpMargin,DevPR,RoE
HDFA,3,100,95,254,2,0,4
HDIT,0,50,50,61,0,0,-5
HDTX,0,120,120,120,0,0,0
HEAL,25,1345,1265,1575,17,25,10
HELI,100,500,70,500,0,0,-106
HERO,6,910,860,1610,0,0,-37
HEXA,40,5775,4990,6950,11,69,37
HILL,45,2500,1270,4000,19,0,34
HITS,49,420,170,680,4,0,15
HKMU,0,50,50,50,-129,0,-168
HMSP,7,865,835,1235,21,84,27
HOKI,71,165,68,204,-4,526,-2
HOME,0,50,50,50,0,0,0
HOMI,3,224,193,1015,15,0,5
HOPE,46,56,50,63,-5,0,0
HOTL,0,50,50,50,-101,0,-10
HRME,0,50,50,53,0,0,-2
HRTA,43,370,210,580,5,18,17
