kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;totshm;m;bl;mcap;cash;opcash;ph;ut;tcs;p;date
BMAS;530.0;500.0;1150.0;0.083500005;0.0;0.03293;0.0;0.0;1.4252254;371.871;none;6210.0;17921599488.0;671.28125;554.0;9498448101376.0;3862592487424.0;-3675435827200.0;461030424576.0;8412242944.0;448.08;4.615384615384615;2024-03-07 18:46:58
BMBL;19.0;17.0;80.0;0.13167;0.0;0.0;0.0;0.0;0.24426618;77.784;none;1122610.0;1030080000.0;29.67;21.0;19571519488.0;421658688.0;-27285356544.0;12748878848.0;1610999936.0;0.409;3.1746031746031744;2024-03-07 18:46:58
BMHS;320.0;268.0;414.0;0.052249998;0.7143;0.016549999;0.0;0.0;1.891063;169.217;strong_buy;591380.0;8603419648.0;359.04;312.84;2753094221824.0;632540299264.0;66365743104.0;1528827215872.0;1091851321344.0;73.522;35.61643835616439;2024-03-07 18:46:58
BMRI;7100.0;4912.5;7400.0;0.58748;0.4486;0.22252001;10.512756;675.37;2.5403857;2794.851;buy;82139820.0;93333299200.0;5934.875;6644.5;662666410459136.0;173659201208320.0;-155565342851072.0;127454572183552.0;192899178299392.0;1860.634;87.93969849246231;2024-03-07 18:46:58
BMSR;322.0;244.0;745.0;0.06568;0.0;0.1476;0.0;0.0;0.49437156;651.332;none;32120.0;1159200000.0;332.72;330.96;373262385152.0;308712144896.0;-6274366976.0;4154763247616.0;146657935360.0;266.315;15.568862275449103;2024-03-07 18:46:58
BMTR;234.0;220.0;388.0;0.05644;0.0;0.04397;3.1578948;74.1;0.24826296;942.549;none;54045840.0;16352499712.0;285.92;255.36;3826485035008.0;1914547994624.0;1882831060992.0;10623132893184.0;7689553838080.0;117.08;8.333333333333334;2024-03-07 18:46:58
BNBA;645.0;486.0;1425.0;0.28169;0.0;0.00963;0.0;0.0;0.70308846;917.381;none;500910.0;3388000000.0;791.875;692.2;2185260040192.0;2655575343104.0;18881959936.0;316564635648.0;35457437696.0;783.818;16.93290734824281;2024-03-07 18:46:58
BNBR;50.0;50.0;73.0;0.08287;0.0;0.15007;0.0;0.0;0.53215265;93.958;none;126495280.0;19375200.0;51.45;50.1;1104224976896.0;13930888953856.0;-958270013440.0;4369080123392.0;2157303037952.0;630.8;0.0;2024-03-07 18:46:58
BNGA;1985.0;1180.0;2140.0;0.49313;0.4439;0.13849;7.0910587;279.93;1.0097773;1965.78;hold;18636020.0;71286896.0;1697.55;1821.7;49502723506176.0;33591364943872.0;-9171745374208.0;16783983509504.0;29798051086336.0;1342.342;83.85416666666667;2024-03-07 18:46:58
BNII;254.0;218.0;312.0;0.34118;0.35599998;0.06026;0.0;0.0;0.65553635;387.469;none;2614790.0;388145984.0;258.21;248.04;19358661214208.0;10868547911680.0;-6150355943424.0;8205533970432.0;15046763610112.0;0.0;38.297872340425535;2024-03-07 18:46:58
BNLI;930.0;895.0;1030.0;0.25693;0.21129999;0.06662;0.0;0.0;0.8413769;1105.331;none;64350.0;26880200.0;940.0;928.8;33648608804864.0;61739815141376.0;-25160679686144.0;9052527525888.0;14086278479872.0;1706.401;25.925925925925924;2024-03-07 18:46:58
BOBA;161.0;132.0;248.0;0.17256;0.0;0.07913;0.0;0.0;1.2757124;126.204;none;35330.0;1155750016.0;154.105;164.38;186075758592.0;8003901440.0;15590018048.0;146204393472.0;569202816.0;6.925;25.0;2024-03-07 18:46:58
