kode;skg;lo;hi;om;dev;roe;pery;epsy;pbvy;bvy;aksiy;vol;m;cash;opcash;ph;ut;tcs
HOPE;50.0;50.0;63.0;-0.05574;0.0;0.0;0;0.0;0.04396451;1137.281;none;1994350.0;51.31;70946656.0;6356387840.0;30999969792.0;37566275584.0;0.056
HOTL;50.0;50.0;50.0;-1.01297;0.0;-0.10520001;0;0.0;0.598172;83.588;none;0.0;50.0;2797136896.0;-6442509824.0;62865727488.0;787807076352.0;0.788
HRME;50.0;50.0;52.0;0.0077600004;0.0;-0.02104;0;0.0;0.45474386;109.952;none;15590.0;50.005;18318313472.0;19955316736.0;105872891904.0;259860692992.0;3.074
HRTA;360.0;284.0;580.0;0.05529;0.18;0.17063999;0;0.0;0.86292034;417.188;none;3469210.0;415.68;98555289600.0;-589644627968.0;11145934012416.0;2825847832576.0;21.401
HRUM;1265.0;1075.0;1945.0;0.15239;0.38990003;0.21225001;5.374288;235.38;20079.365;0.063;strong_buy;10504880.0;1478.8;286254784.0;301049056.0;844092032.0;70676432.0;0.021
HUMI;85.0;50.0;312.0;0.25232;0.0;0.0;0;0.0;10624.999;0.008;none;436162170.0;148.19728;23955996.0;0.0;93478512.0;36579624.0;0.001
HYGN;0.0;108.0;226.0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;128055670.0;162.93333;0.0;0.0;0.0;0.0;0.0
IATA;50.0;50.0;101.0;0.20333;0.0;3.48698;0;0.0;12499.999;0.004;buy;7260800.0;55.545;1002260.0;10491219.0;208956208.0;37859124.0;0.0
IBFN;20.0;13.0;97.0;1.2869201;0.0;0.0;0;0.0;0.0;-408.226;none;54680.0;29.745;67379056640.0;57347149824.0;-12745990144.0;949649801216.0;44.406
IBOS;920.0;172.0;975.0;0.12444;0.0;0.02458;0;0.0;22.365383;41.135;none;6047110.0;406.23;5216880640.0;26479300608.0;84596310016.0;20441602048.0;0.649
IBST;4800.0;4800.0;5925.0;0.39818;0.0;0.00658;0;0.0;1.0305281;4657.806;none;0.0;5395.325;442551730176.0;865450131456.0;1112306483200.0;2941824270336.0;327.597
ICBP;11150.0;9275.0;11925.0;0.15678;0.2633;0.16507;13.641813;817.34;3.1751013;3511.699;buy;4290470.0;11104.25;17079839227904.0;10036572061696.0;67195707064320.0;44399274754048.0;1464.584
ICON;50.0;50.0;85.0;-0.00223;0.0;-0.07959;0;0.0;0.34662288;144.249;none;1360.0;51.165;8479904768.0;-10281676800.0;182310993920.0;69162172416.0;7.782
IDEA;66.0;45.0;177.0;0.17904;0.0;0.01841;0;0.0;1.131726;58.318;none;58511200.0;73.93;3145843456.0;4980090880.0;19969841152.0;15840540672.0;2.961
IDPR;143.0;117.0;177.0;-0.03741;0.0;-0.037219997;1.0362319;138.0;0.46714473;306.115;none;147120.0;144.155;5689415680.0;23696603136.0;1168199385088.0;553014067200.0;2.84
IFII;148.0;140.0;216.0;0.20268999;0.2323;0.07288;0;0.0;1.1743516;126.027;none;281480.0;165.255;5845662208.0;157994991616.0;908616597504.0;544531120128.0;0.621
IFSH;845.0;800.0;1275.0;0.3491;0.2565;0.28114;0;0.0;2.3027349;366.955;none;10050.0;989.55;145923145728.0;295069908992.0;1433217400832.0;131967115264.0;68.67
